sku_code,name,shape,current_price_gbp,new_price_gbp,verdict,rationale
TAP-KIT-01,Kitchen tap swap,fixed,91,110,RAISE,Plumber £80-100; +£20 fixed-price/insured
TAP-BATH-01,Bathroom tap swap,fixed,86,105,RAISE,Plumber £75-90; +£20 trust premium
TAP-REPAIR-01,Dripping tap repair,fixed,77,85,HOLD,Small job market £60-70 plus £20
TAP-OUT-01,Outside tap fit,fixed,128,145,RAISE,Drill-through £120 plus £25 premium
TAP-CART-01,Tap cartridge replacement,fixed,91,95,HOLD,Market £75 plus £20 trust
TOI-REPAIR-01,Toilet repair,fixed,91,110,RAISE,Urgent; £80 plus £30 urgency premium
TOI-SWAP-01,Toilet replacement,fixed,144,180,RAISE,Plumber £150-170; +£25 fixed price
TOI-SEAT-01,Toilet seat fit,fixed,59,65,HOLD,Tiny job; £45 plus £20 convenience
TOI-UNBLK-01,Toilet unblocking,fixed,96,130,RAISE,High-urgency stressed customer
DRAIN-UNBLK-01,Sink or shower drain unblock,fixed,80,105,RAISE,Urgent; £75 plus £30 urgency
LEAK-FIND-01,Leak find & fix,fixed,80,120,RAISE,High-stress urgency job
SHWR-FIX-01,Shower unit repair or swap,fixed,96,120,RAISE,Plumber £100; +£20 fixed price
SHWR-BAR-01,Bar mixer & riser fit,fixed,187,195,HOLD,Reasonable; £160 plus £35 premium
SHWR-HOSE-01,Shower hose or head swap,fixed,48,55,HOLD,Trivial job convenience premium
RAD-SWAP-01,Radiator swap,fixed,118,145,RAISE,Plumber £120-140; +£25
RAD-TOWEL-01,Heated towel rail fit,fixed,112,140,RAISE,Plumber £110; +£30 premium
RAD-BLEED-01,Radiator bleed & balance,fixed,59,65,HOLD,Small convenience job
BALLV-01,Stopcock or valve swap,fixed,102,120,RAISE,Plumber £100; +£20 fixed price
WHEAT-01,Water heater swap,fixed,198,220,RAISE,Plumber £200; +£20 trust premium
WASH-PLUMB-01,Washer/dishwasher plumb-in,fixed,86,105,RAISE,Market £80; +£25 fixed price
SIL-BATH-01,Re-seal a bath,fixed,59,75,RAISE,Visible quality job; £55+£20
SIL-SHWR-01,Re-seal a shower,fixed,64,80,RAISE,Visible quality job; £60+£20
SIL-SINK-01,Re-seal a sink or worktop,fixed,59,75,RAISE,Visible quality job; £55+£20
SIL-WIN-01,Re-seal a window,fixed,64,75,RAISE,Quality job; £55+£20
CAULK-01,Caulk gaps & trims,fixed,70,80,HOLD,Quality finish job
HANG-PIC-01,Hang pictures & frames,per_unit,27,30,HOLD,Market £25; small premium
HANG-MIR-01,Hang a mirror,per_unit,59,65,HOLD,Market £45-50; +£15
HANG-CLK-01,Hang clocks signs & hooks,per_unit,48,45,LOWER,Overpriced vs market £35
FILL-HOLE-01,Fill holes & cracks,fixed,70,80,RAISE,Skill job quality premium
